country,region,surv-self,trad-sec
Albania,African-Islamic,-0.8783270102384673,0.41664004487610784
Algeria,African-Islamic,-1.1408721325880415,-0.5801676126293953
Andorra,Catholic Europe,2.029924025942743,0.5301967593107367
Argentina,Latin America,0.3528814076438482,-0.3537059034440103
Armenia,Orthodox Europe,-1.1176724261624251,-0.6781569386006446
Australia,English-Speaking,2.359674514342291,-0.19075578291647124
Austria,Catholic Europe,1.0270230112454934,0.08981369303111106
Azerbaijan,African-Islamic,-1.3263017358263824,-0.48496819450692374
Bangladesh,African-Islamic,-1.0133690222187248,-1.3527890056051002
Belarus,Orthodox Europe,-0.5065997107560773,0.5221594454446156
Belgium,Catholic Europe,1.0221348214470638,0.1539923599204659
Bolivia,Latin America,-0.6994149300228405,-1.066127082996482
Bosnia Herzegovina,Orthodox Europe,-0.7837932772154442,0.16363093037393844
Brazil,Latin America,-0.26705123204274706,-0.5631934410311573
Bulgaria,Orthodox Europe,-0.5073335823785342,1.2175265383042613
Burkina Faso,African-Islamic,-1.0510836326918973,-1.1049263887429626
Canada,English-Speaking,1.8267099843792167,-0.11584171521106601
Chile,Latin America,-0.054649131697134715,-0.21088694734607816
China,Confucian,0.05106844489922836,0.4891017617314947
Colombia,Latin America,-0.22216033164168386,-1.6526802998774108
Croatia,Catholic Europe,-0.11872949894429709,-0.0954745621597512
Cyprus,West & South Asia,-0.44947609478325423,-0.3797604309025005
Czechia,Catholic Europe,0.7926639251964919,1.0923342036314132
Denmark,Protestant Europe,2.5498662921812456,0.4573719882032679
Ecuador,Latin America,-0.4848829030452119,-1.63443778517445
Estonia,Orthodox Europe,-0.1998883159553114,1.1492061144925874
Ethiopia,African-Islamic,-1.0745039104477843,-0.8370636099086757
Finland,Protestant Europe,1.7154296473116657,0.38648491692641773
France,Catholic Europe,1.1472856033324306,0.3282911747625425
Georgia,Orthodox Europe,-1.4690981424530996,-0.5344374518548832
Germany,Protestant Europe,1.2187799851859114,1.0509844877191599
Ghana,African-Islamic,-1.2024060549414493,-1.6879165322705905
Great Britain,English-Speaking,1.7342617506873732,-0.04828268996122633
Greece,Orthodox Europe,0.02561485548191901,0.2719333004833724
Guatemala,Latin America,-0.527857050732064,-1.2614391439369492
Haiti,Latin America,-0.1490426513890762,-0.7907525804852275
Hong Kong SAR,Confucian,0.3666146107781414,1.2950774214464333
Hungary,Catholic Europe,-0.3544614574263384,0.642922610002133
Iceland,Protestant Europe,1.6676018229127072,-0.25161958663036327
India,West & South Asia,-0.6441001865246788,-0.5268871872156826
Indonesia,West & South Asia,-1.1767592116009857,-0.784988666790051
Iran,African-Islamic,-1.0975757933099972,-0.3508921891917946
Iraq,African-Islamic,-1.5419837627139625,-0.6323658412026649
Ireland,English-Speaking,0.46466411804258095,-1.351737788306998
Italy,Catholic Europe,0.36118887617164397,0.07400763261009277
Japan,Confucian,1.2445007465873559,1.5557223195503551
Jordan,African-Islamic,-1.619828704374107,-1.3627516262266308
Kazakhstan,African-Islamic,-0.6638040789792655,-0.19788226645488705
Kenya,African-Islamic,-0.497769875487945,-0.8229308968979033
Kosovo,African-Islamic,-0.6413223164502191,-1.0855462689629958
Kyrgyzstan,African-Islamic,-0.8241385750791472,-0.8406218630021528
Latvia,Catholic Europe,-0.510293001312782,0.9388910773091984
Lebanon,African-Islamic,-1.101499977124025,-0.17186162128755236
Libya,African-Islamic,-1.3968723280705089,-1.456774806625504
Lithuania,Catholic Europe,-0.5294865092179734,1.0855302368548638
Luxembourg,Catholic Europe,1.5564281938492388,0.26077455815625095
Macau SAR,Confucian,0.44532084329116445,1.216515187469133
Malaysia,West & South Asia,-0.6408761977830482,-0.41598005311008474
Maldives,African-Islamic,-0.9214536252319904,-1.274292509400033
Mali,African-Islamic,-0.3732065402109248,-1.3559336662280483
Malta,Latin America,-0.4365420180832914,-1.4168304732083408
Mexico,Latin America,0.1296482705203746,-1.3613715836810594
Moldova,Orthodox Europe,-1.577033313376785,0.7443800057731441
Mongolia,Confucian,0.2529386927140585,0.808553599518597
Montenegro,Orthodox Europe,-0.5821095266852937,0.22988755953515405
Morocco,African-Islamic,-1.2430876930950765,-0.4389747774213543
Myanmar,West & South Asia,-1.2398224154452062,-0.7943183974911531
Netherlands,Protestant Europe,2.1463065722089665,0.34243216571039975
New Zealand,English-Speaking,2.5887997625974695,-0.22133101018795212
Nicaragua,Latin America,-0.7663220606442792,-1.5468265879337122
Nigeria,African-Islamic,-1.1984238082709808,-1.1204232886356973
North Ireland,English-Speaking,0.5454498878416969,-0.6938895274448242
North Macedonia,Orthodox Europe,-0.1521769741597109,0.20199763006277852
Northern Cyprus,West & South Asia,-0.7628217221821022,-0.08335661903391742
Norway,Protestant Europe,2.1210011066617875,0.45014887491637345
Pakistan,African-Islamic,-0.9233920753704808,-1.113863241860429
Palestine,African-Islamic,-1.572831501555951,-0.7086781668541411
Peru,Latin America,-0.7079351614903069,-0.8837263239722906
Philippines,Latin America,-0.3065859355120407,-1.2386866759610033
Poland,Catholic Europe,-0.45846310240426347,-0.41550844547825555
Portugal,Catholic Europe,-0.36225916442146106,-0.2514403697594055
Puerto Rico,Latin America,0.28221781693125997,-1.5128849144985963
Romania,Orthodox Europe,-1.302778526912901,0.05272117654070344
Russia,Orthodox Europe,-0.769432587489828,0.7140584120772892
Rwanda,African-Islamic,-1.12686105491818,-1.0616275718701351
Serbia,Orthodox Europe,-0.37026482545952305,0.4239143110940538
Singapore,West & South Asia,-0.12396732343407742,0.08608852392864166
Slovakia,Catholic Europe,0.016293884645824538,0.6241614396977491
Slovenia,Catholic Europe,0.7921221237241808,0.7265337178668343
South Africa,African-Islamic,0.02018975371612318,-0.2686275465544288
South Korea,Confucian,-0.0911858019648911,1.1377232683583671
Spain,Catholic Europe,0.4654331315487294,0.03154595827857741
Sweden,Protestant Europe,2.702765347090303,0.8460343577522607
Switzerland,Protestant Europe,1.9995617400206365,-0.024497039442852225
Taiwan ROC,Confucian,-0.2312135991489068,1.2799818973329018
Thailand,West & South Asia,-0.14611358287721105,-0.25966353458684094
Trinidad and Tobago,Latin America,-0.694911592367039,-1.6783478797306162
Tunisia,African-Islamic,-1.6858185106752086,-0.5383187863362338
Turkey,African-Islamic,-1.0188701518165453,-0.5359246088492481
Ukraine,Orthodox Europe,-0.9903982914570604,0.6445728297758997
United States,English-Speaking,1.2810192625826269,-0.47757570535398614
Uruguay,Latin America,0.9496965276769287,-0.37846299560561714
Venezuela,Latin America,-0.49868067533636573,-0.9588867446774714
Vietnam,West & South Asia,0.244614381760542,-0.5568623027344507
Yemen,African-Islamic,-1.4500367618928494,-1.2600359434579727
Zambia,African-Islamic,-1.0886194838109746,-0.3084300918944044
Zimbabwe,African-Islamic,-1.5413035206349068,-0.7487409895288988
